Semestre;Faixa salarial;Faixa Idade;Situação de trabalho
6;De 2 a 4 salários mínimos.;Acima de 36 anos;Atuando na área da TI
6;Até 2 salários mínimos.;Entre 21 e 25 anos;Estudante
8;De 2 a 4 salários mínimos.;Entre 21 e 25 anos;Atuando na área da TI
1;Até 2 salários mínimos.;Até 20 anos;Estudante
5;Até 2 salários mínimos.;Entre 21 e 25 anos;Atuando na área da TI
6;De 2 a 4 salários mínimos.;Até 20 anos;Atuando na área da TI
1;Até 2 salários mínimos.;Entre 21 e 25 anos;Atuando em outras áreas
5;Até 2 salários mínimos.;Entre 26 e 30 anos;Atuando em outras áreas
5;Até 2 salários mínimos.;Entre 21 e 25 anos;Atuando em outras áreas
5;Até 2 salários mínimos.;Entre 21 e 25 anos;Atuando na área da TI
6;Até 2 salários mínimos.;Entre 21 e 25 anos;Atuando na área da TI
1;Até 2 salários mínimos.;Até 20 anos;Atuando na área da TI
7;De 2 a 4 salários mínimos.;Entre 26 e 30 anos;Atuando na área da TI
7;Até 2 salários mínimos.;Entre 21 e 25 anos;Estudante
7;Até 2 salários mínimos.;Entre 21 e 25 anos;Atuando na área da TI
4;Até 2 salários mínimos.;Entre 26 e 30 anos;Atuando na área da TI
1;Até 2 salários mínimos.;Entre 21 e 25 anos;Atuando na área da TI
8;De 2 a 4 salários mínimos.;Acima de 36 anos;Trabalho Informal.
8;De 4 a 10 salários mínimos.;Entre 21 e 25 anos;Atuando na área da TI
7;Até 2 salários mínimos.;Entre 31 e 35 anos;Atuando em outras áreas
3;De 2 a 4 salários mínimos.;Acima de 36 anos;Atuando em outras áreas
8;Até 2 salários mínimos.;Entre 21 e 25 anos;Estudante
1;Até 2 salários mínimos.;Até 20 anos;Atuando em outras áreas
8;De 2 a 4 salários mínimos.;Entre 21 e 25 anos;Atuando na área da TI
8;De 4 a 10 salários mínimos.;Acima de 36 anos;Estudante
5;De 2 a 4 salários mínimos.;Entre 26 e 30 anos;Atuando na área da TI
1;Até 2 salários mínimos.;Até 20 anos;Estudante
1;Até 2 salários mínimos.;Até 20 anos;Estudante
2;Até 2 salários mínimos.;Até 20 anos;Atuando na área da TI
7;De 2 a 4 salários mínimos.;Entre 21 e 25 anos;Atuando na área da TI
7;Até 2 salários mínimos.;Entre 26 e 30 anos;Atuando na área da TI
4;Até 2 salários mínimos.;Até 20 anos;Inativo/fora do mercado de trabalho.
8;Até 2 salários mínimos.;Entre 21 e 25 anos;Atuando na área da TI
2;De 2 a 4 salários mínimos.;Entre 21 e 25 anos;Atuando na área da TI
2;Até 2 salários mínimos.;Entre 21 e 25 anos;Trabalho Informal.
4;Até 2 salários mínimos.;Entre 31 e 35 anos;Inativo/fora do mercado de trabalho.
1;Até 2 salários mínimos.;Até 20 anos;Estudante
8;Até 2 salários mínimos.;Entre 21 e 25 anos;Atuando na área da TI
8;De 10 a 20 salários mínimos.;Entre 21 e 25 anos;Atuando na área da TI
6;Até 2 salários mínimos.;Entre 21 e 25 anos;Inativo/fora do mercado de trabalho.
